epoch,fitness,         train/box_loss,         train/cls_loss,         train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
48,0.851106,0.85939,0.49934,1.1351,0.98719,0.99048,0.99093,0.83557,0.69562,0.26355,1.0444,0.0047125,0.0047125,0.0047125
49,0.851159,0.85884,0.49305,1.1316,0.98822,0.99063,0.99065,0.83566,0.69526,0.26157,1.0406,0.0046,0.0046,0.0046
50,0.852711,0.85766,0.49595,1.133,0.98825,0.99165,0.99105,0.83734,0.69371,0.25959,1.0413,0.0044875,0.0044875,0.0044875
51,0.852959,0.85737,0.49836,1.1339,0.99066,0.99205,0.99083,0.83764,0.69224,0.2579,1.0429,0.004375,0.004375,0.004375
52,0.854165,0.85634,0.48946,1.1353,0.98757,0.99129,0.99074,0.83899,0.69137,0.25582,1.0441,0.0042625,0.0042625,0.0042625
53,0.854794,0.84692,0.48395,1.131,0.99069,0.99058,0.99145,0.83961,0.69077,0.25651,1.0449,0.00415,0.00415,0.00415
54,0.855528,0.84244,0.48179,1.1296,0.98979,0.99078,0.99114,0.84046,0.68762,0.25621,1.0413,0.0040375,0.0040375,0.0040375
55,0.856063,0.84964,0.47783,1.1276,0.98902,0.99291,0.99163,0.841,0.68769,0.25521,1.043,0.003925,0.003925,0.003925
56,0.857017,0.83913,0.47347,1.1208,0.98969,0.99216,0.99145,0.84208,0.68379,0.25359,1.0348,0.0038125,0.0038125,0.0038125
57,0.857463,0.83499,0.47378,1.1229,0.99068,0.99182,0.9915,0.84257,0.68373,0.25207,1.0385,0.0037,0.0037,0.0037
58,0.857788,0.83198,0.46313,1.1191,0.98956,0.99276,0.99142,0.84294,0.68329,0.25058,1.0388,0.0035875,0.0035875,0.0035875
59,0.857952,0.83352,0.46391,1.1251,0.99038,0.9918,0.99126,0.84314,0.68368,0.25034,1.0419,0.003475,0.003475,0.003475
60,0.859279,0.83068,0.46332,1.1202,0.98873,0.99202,0.99121,0.84462,0.6821,0.2488,1.0405,0.0033625,0.0033625,0.0033625
61,0.860003,0.82419,0.45844,1.1096,0.98979,0.99128,0.99125,0.84542,0.67771,0.24667,1.0331,0.00325,0.00325,0.00325
62,0.860854,0.82255,0.45706,1.1124,0.98908,0.99229,0.99085,0.84641,0.67721,0.24625,1.034,0.0031375,0.0031375,0.0031375
63,0.861001,0.81688,0.45139,1.1135,0.98926,0.99147,0.99124,0.84653,0.67964,0.24664,1.0393,0.003025,0.003025,0.003025
64,0.859359,0.81497,0.44649,1.1117,0.98929,0.99153,0.9912,0.84471,0.68013,0.24579,1.0388,0.0029125,0.0029125,0.0029125
65,0.860677,0.81492,0.44501,1.1035,0.98856,0.99207,0.99151,0.84614,0.67922,0.24471,1.0356,0.0028,0.0028,0.0028
66,0.86089,0.81022,0.43993,1.1038,0.98901,0.9923,0.99166,0.84636,0.67839,0.24368,1.0336,0.0026875,0.0026875,0.0026875
67,0.862 ,0.80502,0.44044,1.1074,0.989 ,0.993 ,0.992 ,0.847 ,0.677 ,0.243 ,1.033 ,0.002575,0.002575,0.002575
68,0.861651,0.80435,0.4345,1.1048,0.98988,0.99292,0.99162,0.84721,0.67688,0.24322,1.0345,0.0024625,0.0024625,0.0024625
69,0.862005,0.80085,0.43044,1.0977,0.99006,0.9936,0.99183,0.84758,0.67699,0.24258,1.0342,0.00235,0.00235,0.00235
70,0.862407,0.80355,0.42889,1.1009,0.99038,0.99358,0.9918,0.84803,0.67603,0.24137,1.0319,0.0022375,0.0022375,0.0022375
71,0.863088,0.79658,0.42367,1.1004,0.99057,0.99278,0.99159,0.84881,0.67416,0.24068,1.031,0.002125,0.002125,0.002125
72,0.863914,0.78926,0.42466,1.0996,0.99034,0.99388,0.99157,0.84973,0.6727,0.23959,1.0313,0.0020125,0.0020125,0.0020125
73,0.864 ,0.79451,0.42265,1.098,0.990 ,0.994 ,0.992 ,0.850 ,0.672 ,0.239 ,1.031 ,0.0019,0.0019,0.0019
74,0.864324,0.7848,0.41234,1.0879,0.99001,0.99292,0.99153,0.85019,0.67114,0.23905,1.0292,0.0017875,0.0017875,0.0017875
75,0.864779,0.78252,0.41366,1.0905,0.98914,0.99332,0.9914,0.85071,0.67011,0.23831,1.0271,0.001675,0.001675,0.001675
76,0.865328,0.77765,0.40884,1.0841,0.98994,0.99265,0.99158,0.8513,0.67003,0.23715,1.0256,0.0015625,0.0015625,0.0015625
77,0.865081,0.78444,0.40869,1.0906,0.98983,0.99297,0.99136,0.85105,0.66988,0.23644,1.025,0.00145,0.00145,0.00145
78,0.864726,0.67778,0.27139,1.0272,0.98998,0.99247,0.99132,0.85066,0.66877,0.23587,1.0255,0.0013375,0.0013375,0.0013375
79,0.864924,0.67086,0.26607,1.0178,0.99088,0.99202,0.99123,0.85089,0.66713,0.23483,1.0247,0.001225,0.001225,0.001225
80,0.865398,0.66367,0.2614,1.0136,0.99046,0.99211,0.99111,0.85143,0.66577,0.23474,1.0234,0.0011125,0.0011125,0.0011125
81,0.865736,0.66186,0.25846,1.0151,0.99062,0.99218,0.99116,0.8518,0.66433,0.23325,1.0226,0.001,0.001,0.001
82,0.866609,0.66134,0.25797,1.0079,0.99085,0.99246,0.99134,0.85275,0.664,0.2325,1.0218,0.0008875,0.0008875,0.0008875
83,0.866155,0.65338,0.25362,1.0035,0.99087,0.9929,0.99112,0.85227,0.66339,0.23159,1.0207,0.000775,0.000775,0.000775
84,0.866 ,0.64392,0.24928,1.0024,0.991 ,0.993 ,0.991 ,0.853 ,0.663 ,0.232 ,1.020 ,0.0006625,0.0006625,0.0006625
85,0.867009,0.64122,0.24526,1.0008,0.99095,0.99263,0.99102,0.85323,0.66285,0.23093,1.0206,0.00055,0.00055,0.00055
86,0.867468,0.63699,0.24273,0.9978,0.99103,0.99261,0.99102,0.85374,0.66262,0.23106,1.0207,0.0004375,0.0004375,0.0004375
87,0.868 ,0.63409,0.24061,0.99192,0.991 ,0.993 ,0.991 ,0.854 ,0.662 ,0.231 ,1.020 ,0.000325,0.000325,0.000325
